model_id,data_id,d_spec_file,model,m_seed
dataset_pt3_m0,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,butd_eff,83353
dataset_pt3_m1,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,mcan_small,26750
dataset_pt3_m2,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,mcan_large,1862
dataset_pt3_m3,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,ban_4,8981
dataset_pt3_m4,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,ban_8,61382
dataset_pt3_m5,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,mfb,61233
dataset_pt3_m6,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,mfh,50980
dataset_pt3_m7,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,butd,58866
dataset_pt3_m8,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,mmnasnet_small,25982
dataset_pt3_m9,dataset_pt3_d0,specs/dataset_pt3_d_spec.csv,mmnasnet_large,19277
dataset_pt3_m10,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,butd_eff,54404
dataset_pt3_m11,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,mcan_small,29591
dataset_pt3_m12,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,mcan_large,90721
dataset_pt3_m13,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,ban_4,59336
dataset_pt3_m14,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,ban_8,63286
dataset_pt3_m15,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,mfb,3244
dataset_pt3_m16,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,mfh,38671
dataset_pt3_m17,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,butd,26045
dataset_pt3_m18,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,mmnasnet_small,27641
dataset_pt3_m19,dataset_pt3_d1,specs/dataset_pt3_d_spec.csv,mmnasnet_large,36471
dataset_pt3_m20,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,butd_eff,68174
dataset_pt3_m21,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,mcan_small,92280
dataset_pt3_m22,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,mcan_large,6640
dataset_pt3_m23,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,ban_4,10374
dataset_pt3_m24,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,ban_8,12505
dataset_pt3_m25,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,mfb,27372
dataset_pt3_m26,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,mfh,36606
dataset_pt3_m27,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,butd,82243
dataset_pt3_m28,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,mmnasnet_small,77044
dataset_pt3_m29,dataset_pt3_d2,specs/dataset_pt3_d_spec.csv,mmnasnet_large,90468
dataset_pt3_m30,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,butd_eff,67314
dataset_pt3_m31,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,mcan_small,61176
dataset_pt3_m32,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,mcan_large,53894
dataset_pt3_m33,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,ban_4,17304
dataset_pt3_m34,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,ban_8,6592
dataset_pt3_m35,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,mfb,75154
dataset_pt3_m36,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,mfh,14471
dataset_pt3_m37,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,butd,61607
dataset_pt3_m38,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,mmnasnet_small,14874
dataset_pt3_m39,dataset_pt3_d3,specs/dataset_pt3_d_spec.csv,mmnasnet_large,20102
dataset_pt3_m40,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,butd_eff,10863
dataset_pt3_m41,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,mcan_small,2069
dataset_pt3_m42,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,mcan_large,50755
dataset_pt3_m43,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,ban_4,54956
dataset_pt3_m44,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,ban_8,55515
dataset_pt3_m45,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,mfb,87274
dataset_pt3_m46,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,mfh,46164
dataset_pt3_m47,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,butd,97017
dataset_pt3_m48,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,mmnasnet_small,17467
dataset_pt3_m49,dataset_pt3_d4,specs/dataset_pt3_d_spec.csv,mmnasnet_large,25985
dataset_pt3_m50,dataset_pt3_d5,specs/dataset_pt3_d_spec.csv,butd_eff,82768
dataset_pt3_m51,dataset_pt3_d5,specs/dataset_pt3_d_spec.csv,mcan_small,59152
dataset_pt3_m52,dataset_pt3_d5,specs/dataset_pt3_d_spec.csv,mcan_large,57183
dataset_pt3_m53,dataset_pt3_d5,specs/dataset_pt3_d_spec.csv,ban_4,76617
